GRID*,X ,Y ,Z
1,0.064301431,0.068656307,-0.033935785
2,-0.004826106,0.065585056,-0.075334647
3,0.070717611,0,-0.070703744
4,0.1,0,0.000002172930017
5,0.064383555,0.068146872,0.034796001
6,0,0,0.1
7,-0.008846453,-0.065011005,0.075467274
8,-0.06743991,0.004575636,0.073694791
9,0.063851748,-0.068221762,0.035619452
10,0.070716078,0,0.070705277
11,0,0,-0.1
12,-0.007405866,-0.065309146,-0.075364903
13,0.064120989,-0.068750026,-0.034087134
14,-0.006663292,0.065437254,0.07532308
15,-0.004799084,-0.09988477,-0.00003837950025
16,-0.00477095,0.099886125,-0.000003319179551
17,-0.06971784,-0.062114191,-0.035794554
18,-0.069700621,-0.062107061,0.035840431
19,-0.070391936,0.062615419,-0.033530354
20,-0.067520504,0.004688793,-0.073613835
21,-0.070385636,0.062619379,0.033536185
22,-0.099908759,-0.004270463,0.00005534895087
